id,title,categories,rating,ratings,image url,time,description,ingredients,steps,url
14,"Peanut Butter French Toast","Breakfast and Brunch,French Toast Recipes",4.3,125,"https://www.allrecipes.com/thmb/j1I5HzM2aKwE2mpDtiXl77fCm10=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/367428-fd3dbe1877a4452dbc3ef0e671cb2b1d.jpg","20 mins","If you love French toast and you love peanut butter, why not combine them into one easy, delish recipe? Top with sliced strawberries or bananas.","½ cup milk|3 eggs|¼ cup peanut butter|2 tablespoons white sugar|½ teaspoon vanilla extract (Optional)|¼ teaspoon ground cinnamon|1 tablespoon vegetable oil|4 slices bread","Whisk milk, eggs, peanut butter, sugar, vanilla extract, and cinnamon together in a large bowl.|Heat oil in a griddle or frying pan over medium heat.|Dip bread slices in egg mixture, soaking both sides; add to griddle. Cook until golden, about 3 to 4 minutes per side. Serve hot.","https://www.allrecipes.com/recipe/213730/peanut-butter-french-toast/"
15,"Stuffed Italian Bread","Appetizers and Snacks,Garlic Bread Recipes",5.0,3,"https://www.allrecipes.com/thmb/LkLoOCqLuT-yfCUhZNMhFEcZRnI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7569341-33fd7d2726024fd3b87ddaa7259bdd86.jpg","40 mins","This stuffed Italian bread is an easy way to dress up a plain loaf of bread! Great as an appetizer or as a side dish to grilled steaks. My local grocery sells a blend of mozzarella and provolone cheese that I use.","½ cup unsalted butter, melted|3 tablespoons chopped fresh parsley|2 tablespoons olive oil|3 cloves garlic, minced|1 loaf Italian bread|12 ounces shredded Italian cheese blend","Preheat the oven to 350 degrees F (175 degrees C).|Combine butter, parsley, olive oil, and garlic in a bowl.|Slice loaf on the diagonal, about every 2 inches, starting on top of loaf to the bottom without cutting all the way through. Repeat on the opposite diagonal to create cube-shaped sections still attached to the bottom crust.|Spread butter mixture carefully between bread sections; followed by cheese. Wrap loaf in aluminum foil.|Bake in the preheated oven 15 minutes. Unwrap loaf; continue baking until cheese melted, about 10 minutes more.","https://www.allrecipes.com/recipe/258995/stuffed-italian-bread/"
16,"Apple Dip","Appetizers and Snacks,Dips and Spreads Recipes",4.8,596,"https://www.allrecipes.com/thmb/eUguRB1Mf2h27XLPQdkOIL43nt8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/14978apple-diplutzflcat4x3-fd78436be912414d9ec6c0ffd0449904.jpg","5 mins","I was craving apple dip that I loved as a child, so I called my nanny and she gave me her recipe. The second I tasted it, I was flushed with happy childhood memories. Enjoy with slices of apples — it tastes like caramel!","1 (8 ounce) package cream cheese|½ cup brown sugar|1 tablespoon vanilla extract","Stir cream cheese, brown sugar, and vanilla extract together until sugar has dissolved and mixture is smooth.|Cook’s Note|You can be as creative as you like with this dip! Sometimes, I add peanut butter, chopped nuts, or chocolate sauce, or you can try using strawberry-flavored cream cheese.","https://www.allrecipes.com/recipe/14978/apple-dip/"
18,"New England Beach Pizza","Main Dishes,Pizza Recipes",0.0,0,"https://www.allrecipes.com/thmb/6ulGsarqkmJMKZSZPGDTrUYSd40=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8693117_New-England-Beach-Pizza_John-Mitzewich_4x3-f57618af4f18415c993d162bef590762.jpg","40 mins","When I heard New England beach pizza called America's worst pizza, I knew I had to give it a try. With a thin crust, a very sweet sauce, no toppings but a scant sprinkle of mozzarella and full slices of provolone—well, it does deserve a certain reputation. I admit that it is good in a guilty-pleasure sort of way, and a really fun experiment.","2 tablespoons olive oil|3 cloves garlic , crushed|1/4 cup tomato paste|2 cups marinara sauce|1/4 cup water|1/4 cup white sugar , or to taste|1/4 teaspoon dried oregano|1/4 teaspoon chili flakes (optional)|2 tablespoons olive oil|24 ounces pizza dough|3 ounces shredded mozzarella cheese|12 slices provolone cheese","Preheat the oven to 475 degrees F (245 degrees C).|Heat olive oil in a saucepan over medium heat; sauté garlic until fragrant, about 30 seconds. Stir in tomato paste, and cook, stirring, for another 30 seconds. Add marinara, water, sugar, oregano, and chili flakes. Bring to a simmer, and cook, stirring occasionally, for 10 to 15 minutes. Taste for seasoning and adjust if need be. Turn off heat and reserve.|Roll and stretch dough into a rectangle about 15x10 inches. Rub a 13x18-inch half sheet pan with olive oil and transfer dough on. Push, pull, and stretch dough to cover pan. If dough pulls back from the edge, let it rest for a few minutes, and then continue shaping.|Top dough with a light layer of sauce (the recipe will make extra sauce). Top with mozzarella cheese.|Bake in the preheated oven until the crust is cooked through, and the bottom is golden brown, 15 to 20 minutes.|As soon as pizza comes out of the oven, top with slices of provolone. Pizza can be served immediately, or placed back in the oven for a few minutes to melt provolone even more.|John Mitzewich|From the Editor:|Nutrition data for this recipe includes the full amount of sauce. The actual amount of sauce consumed will vary.","https://www.allrecipes.com/new-england-beach-pizza-recipe-8693117"
20,"Sugar Free Blueberry Coffee Cake","Desserts,Fruit Desserts,Blueberry Dessert Recipes",4.6,96,"https://www.allrecipes.com/thmb/kuMtp8HnpdU-Epp8H8bT7DiHc2w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/330876-58be47b46b5f4a7dab3de523cbf0e9d8.jpg","55 mins","A fabulous blueberry coffee cake with a crumb topping. This recipe is one from a local B&B that I replaced all the sugar with substitutes because I have diabetes. I have received all praise and 'I can't believe it is sugar free.' The sugar can be put back in if you want. Either way it is wonderful.","1 ½ cups granular sucralose sweetener (such as Splenda)|1 cup milk|¾ cup unsalted butter, melted and cooled|3 eggs|1 teaspoon vanilla extract|3 3/4 cups all-purpose flour, divided|2 teaspoons baking powder|1 ¾ cups fresh or frozen blueberries|1 ½ cups malitol brown sugar substitute|2 teaspoons ground cinnamon|½ cup unsalted butter, softened","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch baking pan.|Whisk 1 1/2 cups sucralose sweetener, milk, 3/4 cup melted butter, eggs, and vanilla together in a large bowl. Whisk 3 cups flour and baking powder together; stir into milk mixture until just blended. Fold in blueberries. Spread evenly in the prepared pan.|Combine malitol sweetener, remaining 3/4 cup flour, and cinnamon in a small bowl; stir in 1/2 cup softened butter with a fork until mixture is crumbly. Sprinkle over top of cake.|Bake in the preheated oven until a toothpick inserted into the center comes out clean, 35 to 40 minutes. This cake is best served warm.","https://www.allrecipes.com/recipe/74837/sugar-free-blueberry-coffee-cake/"
21,"Cranberry Pecan Salad","Salad,Green Salad Mixed Greens Salad Recipes",4.7,111,"https://www.allrecipes.com/thmb/HvLbtRhR__4DuvglZMOFWF888G0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1690638-b5cb22ec658c44cdb52ab4a922666bc6.jpg","25 mins","Raspberry Dijon vinaigrette is savory with cranberries, toasted pecans, red onion, and feta cheese. This cranberry pecan salad is a real crowd-pleaser! You can substitute brie for feta, too.","1 cup pecan halves|2 tablespoons raspberry vinegar|½ teaspoon Dijon mustard|½ teaspoon white sugar|½ teaspoon salt|1 pinch freshly ground black pepper to taste|6 tablespoons olive oil|6 cups mixed salad greens, rinsed and dried|¾ cup dried cranberries|½ medium red onion, thinly sliced|crumbled feta cheese","Preheat the oven to 400 degrees F (200 degrees C).|Spread pecans evenly on a baking sheet. Toast in the preheated oven until lightly browned and fragrant, 8 to 10 minutes.|Whisk vinegar, Dijon mustard, sugar, salt, and pepper together in a small bowl until sugar and salt dissolve. Whisk in olive oil.|Toss salad greens, pecans, cranberries, onion, and feta together in a salad bowl. Drizzle with vinaigrette; toss gently to coat.","https://www.allrecipes.com/recipe/83048/cranberry-pecan-salad/"
23,"Apfelkuchen (Apple Cake)","Cuisine,European,German",4.8,58,"https://www.allrecipes.com/thmb/nSpwuysNw2Kx_X1HlCp_lwMEqqI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2133917-apfelkuchen-apple-cake-Sherry-4x3-1-52a20ab60e6840fe96ae8ef9a4379839.jpg","1 hr 25 mins","I fell in love with apfelkuchen when I was in 6th grade. Our teacher let us order from a local German bakery and eat our treats in class once a month. These flavors bring back wonderful memories.","2 ¼ cups sifted all-purpose flour|1 ⅛ cups warm milk|¼ cup white sugar|1 (.25 ounce) package active dry yeast|6 tablespoons butter, softened|1 tablespoon vanilla extract|1 pinch salt|3 large apples - peeled, cored, and sliced|1 cup white sugar|¾ cup sifted all-purpose flour|2 ounces candied lemon peel, chopped (Optional)|½ teaspoon ground cinnamon|¼ teaspoon ground nutmeg|1 pinch salt|½ cup butter","Grease the bottom and sides of a 9x13-inch baking dish or a 9-inch springform pan.|Beat 2 ¼ cups flour, milk, 1/4 cup sugar, yeast, 6 tablespoons butter, vanilla extract, and 1 pinch salt in a large bowl with an electric mixer on high until dough is smooth, about 5 minutes; spread into baking dish and press dough up the sides. Press apple slices into dough.|Mix 1 cup sugar, 3/4 cup flour, candied lemon peel, cinnamon, nutmeg, and 1 pinch salt in a bowl. Cut in 1/2 cup butter with a knife or pastry blender until mixture resembles coarse crumbs; sprinkle over apples. Allow dough to rise for 30 minutes.|Preheat oven to 400 degrees F (200 degrees C).|Bake in preheated oven until cake is golden brown and apples are tender, about 35 minutes.","https://www.allrecipes.com/recipe/221383/apfelkuchen-apple-cake/"
24,"Spiced Applesauce Bread","Bread,Quick Bread Recipes",4.6,339,"https://www.allrecipes.com/thmb/nG4lxC9R4brDB60BMe3dAJbFO9A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8655895-spiced-applesauce-bread-Caitlin-Sockolov-4x3-1-177ba8ddd69d457296dc0fe58cf2d85e.jpg","1 hr 10 mins","Make this applesauce bread with homemade applesauce or your favorite brand. It is moist, delicious, and great in lunch boxes. I also like it spread with cream cheese or peanut butter.","1 ¼ cups applesauce|1 cup white sugar|½ cup vegetable oil|2 large eggs|3 tablespoons milk|2 cups all-purpose flour|1 teaspoon baking soda|½ teaspoon baking powder|½ teaspoon ground cinnamon|¼ teaspoon ground nutmeg|¼ teaspoon ground allspice|¼ teaspoon salt|½ cup chopped pecans","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x5-inch loaf pan.|Combine applesauce, sugar, oil, eggs, and milk in a large bowl; beat well. Sift in flour, baking soda, baking powder, cinnamon, nutmeg, allspice, and salt; stir until smooth. Fold in pecans. Pour batter into the prepared loaf pan.|Bake in the preheated oven until a toothpick inserted into the center of the loaf comes out clean, about 1 hour.","https://www.allrecipes.com/recipe/17683/spiced-applesauce-bread/"
25,"Classic Key Lime Pie","Trusted Brands: Recipes and Tips,EAGLE BRAND®",4.7,129,"https://www.allrecipes.com/thmb/dRCxPsSYV1FxEb3aEWhcHHsj4ns=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1017818-4ce329640bbf453daa8793ad7614c69d.jpg","1 hr 40 mins","Creamy, sweet, and tart, this classic key lime pie is always a favorite.","1 ¼ cups graham cracker crumbs|2 tablespoons white sugar|5 tablespoons unsalted butter, melted|2 (14 ounce) cans Eagle Brand sweetened condensed milk|⅔ cup fresh lime juice|⅓ cup sour cream|2 teaspoons grated lime zest|1 cup heavy whipping cream|¼ cup confectioners' sugar|½ teaspoon vanilla extract","Preheat the oven to 325 degrees F (165 degrees C).|Combine graham cracker crumbs and sugar in a bowl; add melted butter. Mix until evenly moistened; press into the bottom and sides of a 9-inch pie plate. Bake in the preheated oven until crust begins to brown, about 10 minutes. Cool on a wire rack for 15 minutes.|Whisk sweetened condensed milk, lime juice, and sour cream together in a large bowl until combined; stir in lime zest. Pour filling into crust. Bake until tiny bubbles begin to form on surface of pie, 7 to 10 minutes. Cool completely on a wire rack.|Beat heavy cream, confectioners' sugar, and vanilla extract in a chilled glass or metal bowl with an electric mixer on medium speed until stiff. Top pie with whipped cream. Chill at least 1 hour before serving. Best served the same day.","https://www.allrecipes.com/recipe/232897/classic-key-lime-pie/"
26,"Pumpkin Dump Cake","Desserts,Cakes,Pumpkin Cake Recipes",4.8,189,"","1 hr","I love pumpkin dump cake. There are lots of different variations of this popular recipe out there but I think this is the easiest one to remember and make! Sprinkle the butter over the cake mix evenly for the crunchiest topping. Delicious served cool with whipped cream.","1 (29 ounce) can pumpkin puree|1 (12 fluid ounce) can evaporated milk|3 large eggs|½ cup packed brown sugar|½ cup white sugar|1 teaspoon ground cinnamon|½ teaspoon ground ginger|¼ teaspoon ground cloves|½ teaspoon salt|1 (15.25 ounce) package spice cake mix|½ cup coarsely chopped pecans|½ cup melted butter","Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch pan.|Combine pumpkin, evaporated milk, eggs, and both sugars in a large bowl. Stir in cinnamon, ginger, cloves, and salt. Pour into the prepared pan. Sprinkle dry cake mix evenly over pumpkin filling. Sprinkle pecans over cake mix. Drizzle melted butter over the top.|Bake in the preheated oven until the edges are lightly browned, about 50 to 60 minutes. Allow to cool.|RB46","https://www.allrecipes.com/recipe/26060/pumpkin-dump-cake/"
27,"Crawfish Pistolettes","Seafood,Shellfish,Crawfish",5.0,9,"https://www.allrecipes.com/thmb/ackkiiuU7Hg5cwsYSM7KK3LUEZU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/550657-f6fbf602a3cf477eaf3a6afd84611b70.jpg","50 mins","Pistolette bread is fried and then stuffed with a delicious, cheesy, crawfish mixture! To reheat, place pistolettes in a sheet pan and heat in oven at 200F for 20 minutes.","¼ cup unsalted butter|1 cup finely chopped onions|½ cup chopped green bell pepper|¼ cup chopped green onions|3 cloves garlic, minced|1 cup evaporated milk|1 (8 ounce) package processed cheese, cubed|½ teaspoon unsalted butter|2 (16 ounce) packages cooked and peeled whole crawfish tails|1 teaspoon Cajun seasoning|½ teaspoon salt|½ teaspoon ground black pepper|½ teaspoon garlic powder|2 cups vegetable oil for frying|20 brown and serve pistolette rolls","Melt 1/4 cup butter in a saucepan over medium heat. Stir in onions, bell pepper, green onions, and garlic; cook and stir until onions softened and translucent, about 5 minutes. Stir in evaporated milk; bring to a simmer. Stir in cheese until melted. Reduce heat to low; keep sauce warm.|Meanwhile, melt 1/2 teaspoon butter in a large skillet over medium heat. Add crawfish tails; season with Cajun seasoning, salt, pepper, and garlic powder. Cook and stir until tails are hot and beginning to curl, 3 to 5 minutes. Stir tails into cheese sauce; cook 5 minutes.|Heat oil in a large skillet to 350 degrees F (175 degrees C).|Add pistolette rolls to skillet; cook until golden brown on all sides. Transfer to a paper-towel-lined plate to cool. When cool enough to handle, cut a slit in one end of each roll, then create a pocket in the roll using the handle of a spoon. Stuff rolls with crawfish mixture; serve immediately.|Editor's Note|Pistolette rolls are also known as French rolls in other parts of the country.","https://www.allrecipes.com/recipe/146303/crawfish-pistolettes/"
